Reference,Value,Footprint,Count,Datasheet,Mfg_Part_No
"C1, C4, C5, C7, C8, C9, C12",0.1uF,Capacitors_SMD:C_0603,7,,GRM188R71C104KA01D
"C2, C3, C6",2.2uF,Capacitors_SMD:C_0805,3,,TMK212B7225KG-TR
"C10, C11",22pF,Capacitors_SMD:C_0603,2,,VJ0603A220JXACW1BC
G1,16MHz,T32 ref:HC49US,1,,ABL-16.000MHz-B1U
G2,32.768kHz,T32 ref:TC26H,1,,CFS206-32.768KDZF-UB
K1,MK20DX256VLH7,T32 ref:LQFP64-05,1,,MK20DX256VLH7
K2,MKL04Z32VLC4,T32 ref:LQFP32-08,1,,
P1,~,LEDs:LED_0805,1,,SML-211DTT86
R1,FUSE,Resistors_SMD:R_0805,1,,0ZCK0050FF2E
"R2, R4",~,Resistors_SMD:R_0603,2,,BLM18AG601SN1D
"R3, R8",470R,Resistors_SMD:R_0603,2,,CRCW0603470RFKEA
"R5, R6",33R,Resistors_SMD:R_0603,2,,ERJ-PA3F33R0V
R7,~,TO_SOT_Packages_SMD:SOT-23,1,,"BAT54C,215"
S1,~,T32 ref:ALPS_SKHH,1,,SKHHPKA010
SJ1,~,T32 ref:SOLDERJUMPER,1,,
"SX1, SX2, SX3, SX4, SX5, SX6, SX7, SX8, SX9, SX10, SX11, SX12, SX13, SX14, SX15, SX16, SX17, SX18, SX19, SX20, SX21, SX22, SX23, SX24, SX25, SX26, SX27, SX28, SX29, SX30, SX31, SX32, SX33, SX34, SX35, SX36, SX37, SX38, SX39, SX40, SX41, SX42, SX43, SX44, SX45, SX46, SX47, SX48, SX49, SX50, SX51, SX52, SX53, SX54, SX55, SX56, SX57, SX58, SX59, SX60",PIN,T32 ref:PTH_39MIL,60,,
T1,MCP1825S,TO_SOT_Packages_SMD:SOT-223,1,,MCP1825S-3302E/DB
X1,MINI-USB,T32 ref:MOLEX_SD-67503-010,1,,67503-1020
